month,platform,spend,impressions,clicks,conversions,revenue_attributed,cpc,cpa,roas
2025-06,Facebook Ads,4942.69,742608,14778,762,64842.82,0.33,6.49,13.12
2025-06,Instagram Ads,3626.73,450696,14857,1110,85124.39,0.24,3.27,23.47
2025-06,TikTok Ads,2672.46,798351,16277,489,33199.24,0.16,5.47,12.42
2025-06,Email Marketing,1293.73,31040,1612,38,4167.46,0.8,34.05,3.22
2025-06,Influencer,4583.34,673654,48789,2877,255897.99,0.09,1.59,55.83
2025-07,Google Ads,5843.74,487289,12489,480,24954.4,0.47,12.17,4.27
2025-07,Facebook Ads,3147.25,414354,6374,379,32851.11,0.49,8.3,10.44
2025-07,Instagram Ads,2196.06,301227,4833,269,22554.37,0.45,8.16,10.27
2025-07,TikTok Ads,3326.9,977120,17387,429,22073.93,0.19,7.76,6.63
2025-07,Email Marketing,1362.0,31149,725,41,2364.53,1.88,33.22,1.74
2025-07,Influencer,4182.89,320406,15265,831,88649.84,0.27,5.03,21.19
2025-08,Google Ads,4482.62,649315,17276,605,71909.84,0.26,7.41,16.04
2025-08,Facebook Ads,4299.84,730386,19582,842,39541.48,0.22,5.11,9.2
2025-08,Instagram Ads,1627.91,311503,5905,145,11960.16,0.28,11.23,7.35
2025-08,TikTok Ads,2937.8,927533,21550,1621,77463.73,0.14,1.81,26.37
2025-08,Email Marketing,979.16,21708,1286,62,6962.74,0.76,15.79,7.11
2025-08,Influencer,4692.08,468848,26005,935,54665.76,0.18,5.02,11.65
2025-09,Google Ads,6501.13,816614,16811,377,24956.21,0.39,17.24,3.84
2025-09,Facebook Ads,3877.76,476467,7608,275,9733.42,0.51,14.1,2.51
2025-09,Instagram Ads,2906.69,460017,10269,577,28673.9,0.28,5.04,9.86
2025-09,TikTok Ads,1930.66,883901,12498,571,44399.02,0.15,3.38,23.0
2025-09,Email Marketing,758.43,19102,1035,65,5572.64,0.73,11.67,7.35
2025-09,Influencer,2371.92,301265,14815,300,10831.61,0.16,7.91,4.57
2025-10,Google Ads,7934.97,995004,30908,1940,94963.74,0.26,4.09,11.97
2025-10,Facebook Ads,4378.84,504101,7870,320,33977.43,0.56,13.68,7.76
2025-10,Instagram Ads,2800.41,374771,10510,593,59619.96,0.27,4.72,21.29
2025-10,TikTok Ads,1835.34,654311,7132,328,34272.9,0.26,5.6,18.67
2025-10,Email Marketing,791.74,34439,701,23,959.52,1.13,34.42,1.21
2025-10,Influencer,5530.28,556117,27000,1454,161882.8,0.2,3.8,29.27
2025-11,Google Ads,9175.05,1213190,42156,2649,156629.41,0.22,3.46,17.07
2025-11,Facebook Ads,6884.2,1001489,26466,836,30596.67,0.26,8.23,4.44
2025-11,Instagram Ads,2731.23,512210,8585,254,14166.78,0.32,10.75,5.19
2025-11,TikTok Ads,2461.91,1144872,15014,1094,69939.43,0.16,2.25,28.41
2025-11,Email Marketing,1555.69,27509,619,48,5230.26,2.51,32.41,3.36
2025-11,Influencer,3739.24,513437,35516,2154,181593.14,0.11,1.74,48.56
2025-12,Google Ads,10726.23,1557007,75253,2406,141924.78,0.14,4.46,13.23
2025-12,Facebook Ads,7480.08,1454093,34543,2668,201086.58,0.22,2.8,26.88
2025-12,Instagram Ads,5671.66,910841,21625,869,91175.48,0.26,6.53,16.08
2025-12,TikTok Ads,3408.5,755034,18046,1171,111842.6,0.19,2.91,32.81
2025-12,Email Marketing,1796.66,15675,477,11,1198.99,3.77,163.33,0.67
2025-12,Influencer,6329.25,337538,17751,1374,103555.05,0.36,4.61,16.36
