order_id,customer_id,order_date,channel,payment_method,region,items_ordered,primary_category,gross_revenue,discount_pct,discount_amount,shipping_cost,product_cost,platform_fee,transaction_fee,returned,refund_amount,net_revenue,total_costs,profit
ORD-000064,C-0697,2025-11-22,Mobile App,Credit Card,Southwest,4,Home & Kitchen,176.25,0,0.0,43.68,79.67,0,5.41,No,0,176.25,128.76,47.49
ORD-000065,C-0326,2025-03-11,Mobile App,Debit Card,Northeast,3,Sports,401.01,0,0.0,28.3,180.89,0,11.93,No,0,401.01,221.12,179.89
ORD-000066,C-0118,2025-06-08,Website,PayPal,Southwest,1,Books,30.61,5,1.53,9.9,9.18,0,1.14,No,0,29.08,20.22,8.86
ORD-000067,C-0273,2024-08-25,Website,Debit Card,Southeast,1,Food & Beverage,127.92,15,19.19,22.84,74.56,0,3.45,No,0,108.73,100.85,7.88
ORD-000068,C-0633,2025-04-26,Website,Buy Now Pay Later,Midwest,3,Clothing,209.71,15,31.46,36.7,76.77,0,5.47,No,0,178.25,118.94,59.31
ORD-000069,C-0188,2025-11-17,Mobile App,Buy Now Pay Later,Southwest,1,Beauty,5.22,10,0.52,14.3,2.85,0,0.44,No,0,4.7,17.59,-12.89
ORD-000070,C-0635,2025-01-11,Marketplace,Buy Now Pay Later,Northeast,4,Home & Kitchen,233.97,20,46.79,71.32,122.29,28.08,5.73,No,0,187.18,227.42,-40.24
ORD-000071,C-0774,2025-02-13,Social Commerce,Credit Card,Southeast,1,Clothing,40.89,20,8.18,15.1,16.21,2.62,1.25,No,0,32.71,35.18,-2.47
ORD-000072,C-0321,2024-11-24,Mobile App,Credit Card,West Coast,1,Electronics,24.38,20,4.88,13.9,16.19,0,0.87,No,0,19.5,30.96,-11.46
ORD-000073,C-0507,2025-05-25,Website,PayPal,West Coast,2,Sports,209.53,15,31.43,20.02,75.75,0,5.46,No,0,178.1,101.23,76.87
ORD-000074,C-0341,2024-12-08,Marketplace,Debit Card,Southwest,1,Food & Beverage,28.96,0,0.0,9.02,8.3,4.34,1.14,No,0,28.96,22.8,6.16
ORD-000075,C-0223,2025-08-31,Mobile App,Debit Card,Southwest,1,Beauty,48.04,0,0.0,7.96,21.5,0,1.69,No,0,48.04,31.15,16.89
ORD-000076,C-0071,2025-11-07,Marketplace,Debit Card,Midwest,2,Books,26.51,0,0.0,22.2,9.98,3.98,1.07,No,0,26.51,37.23,-10.72
ORD-000077,C-0022,2025-04-04,Website,Credit Card,Southeast,2,Clothing,167.59,0,0.0,28.1,57.4,0,5.16,Yes,167.59,0.0,90.66,-90.66
ORD-000078,C-0664,2025-01-24,Website,PayPal,West Coast,3,Toys,180.3,0,0.0,46.88,89.4,0,5.53,No,0,180.3,141.81,38.49
ORD-000079,C-0661,2025-06-05,Marketplace,Debit Card,Southeast,1,Beauty,24.02,0,0.0,3.98,10.75,3.6,1.0,No,0,24.02,19.33,4.69
ORD-000080,C-0506,2025-08-08,Website,Buy Now Pay Later,West Coast,1,Electronics,24.38,0,0.0,13.9,16.19,0,1.01,No,0,24.38,31.1,-6.72
ORD-000081,C-0008,2025-07-20,Website,PayPal,Midwest,1,Clothing,100.26,10,10.03,8.44,63.28,0,2.92,No,0,90.23,74.64,15.59
ORD-000082,C-0329,2025-07-25,Website,Credit Card,Northeast,1,Sports,208.28,0,0.0,29.08,66.08,0,6.34,No,0,208.28,101.5,106.78
ORD-000083,C-0721,2025-02-07,Website,Debit Card,West Coast,4,Toys,197.71,15,29.66,28.88,92.29,0,5.17,No,0,168.05,126.34,41.71
ORD-000084,C-0130,2025-06-29,Mobile App,Credit Card,Northeast,1,Home & Kitchen,67.09,15,10.06,10.54,26.96,0,1.95,No,0,57.03,39.45,17.58
ORD-000085,C-0114,2025-07-03,Mobile App,PayPal,Northeast,3,Toys,139.45,5,6.97,40.56,44.49,0,4.14,No,0,132.48,89.19,43.29
ORD-000086,C-0117,2025-12-02,Marketplace,PayPal,Southwest,3,Food & Beverage,231.74,10,23.17,58.78,80.36,31.29,6.35,No,0,208.57,176.78,31.79
ORD-000087,C-0271,2024-12-02,Mobile App,Credit Card,Southwest,2,Toys,139.54,0,0.0,20.76,61.19,0,4.35,No,0,139.54,86.3,53.24
ORD-000088,C-0623,2024-10-08,Website,Debit Card,West Coast,4,Toys,716.16,0,0.0,69.12,241.86,0,21.07,No,0,716.16,332.05,384.11
ORD-000089,C-0730,2025-02-28,Mobile App,Debit Card,Northeast,2,Electronics,153.75,15,23.06,21.56,53.88,0,4.09,No,0,130.69,79.53,51.16
ORD-000090,C-0720,2024-06-17,Mobile App,Credit Card,Midwest,3,Beauty,40.86,0,0.0,45.44,19.24,0,1.48,No,0,40.86,66.16,-25.3
ORD-000091,C-0715,2025-09-27,Mobile App,Credit Card,Southwest,3,Sports,228.68,0,0.0,57.9,96.2,0,6.93,No,0,228.68,161.03,67.65
ORD-000092,C-0301,2025-01-06,Website,Credit Card,West Coast,3,Electronics,297.24,15,44.59,42.48,141.35,0,7.63,No,0,252.65,191.46,61.19
ORD-000093,C-0646,2025-10-25,Marketplace,PayPal,West Coast,2,Books,27.72,10,2.77,17.08,15.14,3.74,1.02,Yes,24.95,0.0,36.98,-36.98
ORD-000094,C-0740,2025-09-04,Marketplace,Gift Card,Northeast,2,Toys,384.27,20,76.85,44.4,147.09,46.11,9.22,No,0,307.42,246.82,60.6
ORD-000095,C-0680,2025-08-10,Mobile App,Debit Card,Southwest,1,Beauty,39.11,10,3.91,9.82,15.9,0,1.32,No,0,35.2,27.04,8.16
ORD-000096,C-0410,2024-09-03,Website,Credit Card,Southeast,2,Sports,207.66,0,0.0,43.44,85.38,0,6.32,Yes,207.66,0.0,135.14,-135.14
ORD-000097,C-0039,2025-07-30,Website,PayPal,Midwest,3,Food & Beverage,55.6,20,11.12,39.76,23.15,0,1.59,No,0,44.48,64.5,-20.02
ORD-000098,C-0342,2025-11-06,Mobile App,PayPal,Northeast,1,Home & Kitchen,58.8,25,14.7,12.44,22.82,0,1.58,No,0,44.1,36.84,7.26
ORD-000099,C-0583,2024-05-16,Website,Credit Card,West Coast,3,Sports,486.49,10,48.65,61.06,267.26,0,13.0,No,0,437.84,341.32,96.52
ORD-000100,C-0368,2025-09-26,Website,Debit Card,West Coast,1,Clothing,56.0,0,0.0,12.86,19.82,0,1.92,No,0,56.0,34.6,21.4
ORD-000101,C-0598,2025-02-25,Website,PayPal,Southeast,1,Home & Kitchen,105.44,10,10.54,8.94,42.07,0,3.05,No,0,94.9,54.06,40.84
ORD-000102,C-0742,2024-11-26,Website,Debit Card,Midwest,1,Sports,104.14,0,0.0,14.54,33.04,0,3.32,No,0,104.14,50.9,53.24
ORD-000103,C-0478,2024-10-29,Marketplace,PayPal,Midwest,1,Beauty,77.53,5,3.88,4.78,24.83,11.05,2.44,No,0,73.65,43.1,30.55
ORD-000104,C-0731,2025-08-12,Marketplace,Credit Card,Southeast,2,Food & Beverage,200.98,5,10.05,42.32,82.4,28.64,5.84,No,0,190.93,159.2,31.73
ORD-000105,C-0224,2025-01-05,Marketplace,Credit Card,Northeast,1,Books,8.92,10,0.89,10.22,5.33,1.2,0.53,No,0,8.03,17.28,-9.25
ORD-000106,C-0715,2025-06-15,Marketplace,PayPal,Northeast,2,Clothing,91.92,5,4.6,20.36,56.68,13.1,2.83,No,0,87.32,92.97,-5.65
ORD-000107,C-0200,2024-12-23,Mobile App,Credit Card,Southeast,3,Toys,190.03,20,38.01,33.06,70.27,0,4.71,No,0,152.02,108.04,43.98
ORD-000108,C-0044,2025-02-09,Website,PayPal,Southwest,1,Books,9.03,0,0.0,13.98,6.37,0,0.56,No,0,9.03,20.91,-11.88
ORD-000109,C-0661,2025-09-03,Mobile App,Credit Card,Southeast,2,Electronics,89.14,0,0.0,20.52,32.47,0,2.89,No,0,89.14,55.88,33.26
ORD-000110,C-0442,2025-04-23,Mobile App,Debit Card,Southeast,2,Clothing,123.67,25,30.92,25.64,48.97,0,2.99,No,0,92.75,77.6,15.15
ORD-000111,C-0784,2025-05-19,Website,Credit Card,Southwest,4,Sports,666.72,25,166.68,56.42,243.25,0,14.8,No,0,500.04,314.47,185.57
ORD-000112,C-0665,2025-08-25,Mobile App,Debit Card,Midwest,1,Sports,36.49,10,3.65,12.38,15.2,0,1.25,Yes,32.84,0.0,28.83,-28.83
ORD-000113,C-0664,2024-12-02,Mobile App,Gift Card,Northeast,1,Clothing,187.78,0,0.0,12.28,65.62,0,5.75,No,0,187.78,83.65,104.13
ORD-000114,C-0489,2025-02-02,Website,PayPal,Midwest,1,Electronics,271.64,0,0.0,11.64,86.1,0,8.18,No,0,271.64,105.92,165.72
ORD-000115,C-0513,2025-10-08,Marketplace,PayPal,Midwest,1,Clothing,59.15,15,8.87,9.98,19.36,7.54,1.76,No,0,50.28,38.64,11.64
ORD-000116,C-0511,2024-04-23,Mobile App,Debit Card,Southwest,1,Home & Kitchen,67.09,10,6.71,10.54,26.96,0,2.05,No,0,60.38,39.55,20.83
ORD-000117,C-0482,2025-07-29,Marketplace,Credit Card,Southwest,5,Clothing,283.01,15,42.45,97.5,110.54,36.08,7.28,No,0,240.56,251.4,-10.84
ORD-000118,C-0633,2025-05-24,Social Commerce,Buy Now Pay Later,Southwest,2,Electronics,99.76,25,24.94,26.0,42.47,5.99,2.47,No,0,74.82,76.93,-2.11
ORD-000119,C-0438,2025-09-04,Website,Credit Card,Northeast,1,Clothing,95.89,0,0.0,9.34,27.4,0,3.08,No,0,95.89,39.82,56.07
ORD-000120,C-0075,2024-11-06,Website,PayPal,West Coast,1,Books,16.8,20,3.36,4.14,8.25,0,0.69,No,0,13.44,13.08,0.36
ORD-000121,C-0243,2025-09-17,Website,Buy Now Pay Later,Southwest,1,Home & Kitchen,54.48,20,10.9,10.94,21.25,0,1.56,No,0,43.58,33.75,9.83
ORD-000122,C-0115,2025-01-10,Website,Debit Card,West Coast,2,Home & Kitchen,217.24,0,0.0,15.62,76.62,0,6.6,No,0,217.24,98.84,118.4
ORD-000123,C-0676,2025-03-25,Website,PayPal,West Coast,2,Home & Kitchen,109.58,20,21.92,18.04,59.35,0,2.84,No,0,87.66,80.23,7.43
ORD-000124,C-0519,2024-12-27,Website,Buy Now Pay Later,Northeast,1,Books,10.41,0,0.0,9.58,4.56,0,0.6,No,0,10.41,14.74,-4.33
ORD-000125,C-0350,2025-02-20,Website,Credit Card,Midwest,3,Clothing,125.28,0,0.0,34.96,49.27,0,3.93,No,0,125.28,88.16,37.12
ORD-000126,C-0148,2024-06-04,Mobile App,PayPal,Midwest,1,Food & Beverage,29.57,10,2.96,12.14,20.66,0,1.07,No,0,26.61,33.87,-7.26
ORD-000127,C-0266,2024-11-20,Mobile App,Buy Now Pay Later,Northeast,2,Electronics,123.73,10,12.37,47.6,63.87,0,3.53,No,0,111.36,115.0,-3.64
ORD-000128,C-0467,2025-08-03,Website,Credit Card,Southeast,2,Sports,211.74,0,0.0,53.36,84.46,0,6.44,Yes,211.74,0.0,144.26,-144.26
ORD-000129,C-0594,2024-10-14,Mobile App,Buy Now Pay Later,Northeast,1,Home & Kitchen,74.83,0,0.0,4.78,26.15,0,2.47,No,0,74.83,33.4,41.43
ORD-000130,C-0315,2025-11-24,Website,Gift Card,Midwest,1,Clothing,63.51,5,3.18,7.9,31.27,0,2.05,No,0,60.33,41.22,19.11
ORD-000131,C-0348,2025-11-03,Marketplace,Credit Card,Southwest,2,Food & Beverage,350.49,0,0.0,38.96,104.7,52.57,10.46,No,0,350.49,206.69,143.8
ORD-000132,C-0590,2025-05-23,Marketplace,Credit Card,Southeast,2,Books,58.02,10,5.8,15.0,33.92,7.83,1.81,No,0,52.22,58.56,-6.34
ORD-000133,C-0368,2025-05-25,Website,Debit Card,Midwest,1,Food & Beverage,54.32,10,5.43,22.68,27.28,0,1.72,No,0,48.89,51.68,-2.79
ORD-000134,C-0252,2024-07-14,Website,PayPal,Midwest,3,Home & Kitchen,141.63,10,14.16,30.26,69.34,0,4.0,No,0,127.47,103.6,23.87
ORD-000135,C-0567,2025-01-03,Website,Buy Now Pay Later,Southeast,1,Books,26.5,20,5.3,5.5,8.06,0,0.91,No,0,21.2,14.47,6.73
ORD-000136,C-0716,2025-03-18,Website,Buy Now Pay Later,Southwest,2,Beauty,38.24,10,3.82,22.6,19.51,0,1.3,No,0,34.42,43.41,-8.99
ORD-000137,C-0280,2025-07-22,Mobile App,PayPal,Southwest,5,Books,177.3,5,8.87,93.06,89.78,0,5.18,No,0,168.43,188.02,-19.59
ORD-000138,C-0621,2025-08-17,Website,Debit Card,Southwest,1,Toys,75.84,0,0.0,12.3,34.48,0,2.5,No,0,75.84,49.28,26.56
ORD-000139,C-0767,2025-06-08,Website,Credit Card,Southwest,2,Food & Beverage,261.09,0,0.0,34.18,87.23,0,7.87,No,0,261.09,129.28,131.81
ORD-000140,C-0527,2024-09-16,Website,Credit Card,West Coast,1,Electronics,73.73,5,3.69,9.34,48.17,0,2.33,No,0,70.04,59.84,10.2
ORD-000141,C-0327,2025-05-24,Website,Credit Card,Midwest,2,Toys,118.09,5,5.9,25.88,57.43,0,3.55,No,0,112.19,86.86,25.33
ORD-000142,C-0301,2025-12-25,Mobile App,Gift Card,Northeast,1,Beauty,116.46,10,11.65,26.84,44.84,0,3.34,No,0,104.81,75.02,29.79
ORD-000143,C-0247,2025-05-10,Website,Credit Card,Northeast,2,Electronics,278.71,0,0.0,16.0,109.1,0,8.38,No,0,278.71,133.48,145.23
ORD-000144,C-0178,2024-12-03,Mobile App,Credit Card,West Coast,1,Food & Beverage,18.44,10,1.84,4.62,5.64,0,0.78,No,0,16.6,11.04,5.56
ORD-000145,C-0437,2025-12-06,Marketplace,Credit Card,Midwest,2,Food & Beverage,136.86,0,0.0,10.6,45.91,20.53,4.27,No,0,136.86,81.31,55.55
ORD-000146,C-0597,2025-07-05,Website,Credit Card,West Coast,3,Home & Kitchen,199.45,0,0.0,36.32,86.85,0,6.08,No,0,199.45,129.25,70.2
ORD-000147,C-0444,2025-03-17,Marketplace,PayPal,Northeast,2,Beauty,90.7,10,9.07,38.96,51.2,12.24,2.67,No,0,81.63,105.07,-23.44
ORD-000148,C-0668,2024-03-15,Social Commerce,Credit Card,Midwest,1,Toys,63.63,5,3.18,8.38,31.76,4.84,2.05,No,0,60.45,47.03,13.42
ORD-000149,C-0374,2025-09-21,Mobile App,PayPal,Northeast,1,Food & Beverage,129.8,15,19.47,3.82,38.64,0,3.5,No,0,110.33,45.96,64.37
ORD-000150,C-0769,2024-10-27,Website,PayPal,Northeast,1,Books,69.54,0,0.0,27.78,28.65,0,2.32,Yes,69.54,-0.0,58.75,-58.75
ORD-000151,C-0721,2024-09-29,Website,Credit Card,West Coast,1,Toys,94.27,25,23.57,7.98,37.2,0,2.35,No,0,70.7,47.53,23.17
ORD-000152,C-0740,2025-07-26,Mobile App,Credit Card,Southwest,1,Electronics,521.0,0,0.0,23.64,157.84,0,15.41,No,0,521.0,196.89,324.11
ORD-000153,C-0735,2025-06-29,Website,Buy Now Pay Later,Southwest,1,Books,5.52,10,0.55,7.82,3.38,0,0.44,No,0,4.97,11.64,-6.67
ORD-000154,C-0220,2025-10-02,Website,Credit Card,West Coast,2,Toys,99.89,10,9.99,30.66,45.02,0,2.91,No,0,89.9,78.59,11.31
ORD-000155,C-0742,2025-09-11,Website,PayPal,West Coast,3,Clothing,339.72,10,33.97,55.56,109.36,0,9.17,Yes,305.75,0.0,174.09,-174.09
ORD-000156,C-0655,2025-07-02,Website,Credit Card,Midwest,1,Sports,83.94,20,16.79,26.84,24.48,0,2.25,No,0,67.15,53.57,13.58
ORD-000157,C-0681,2025-04-12,Mobile App,Debit Card,Southwest,5,Food & Beverage,323.66,0,0.0,85.12,126.87,0,9.69,No,0,323.66,221.68,101.98
ORD-000158,C-0546,2025-05-31,Social Commerce,Credit Card,Northeast,4,Books,209.1,5,10.46,48.86,91.38,15.89,6.06,No,0,198.64,162.19,36.45
ORD-000159,C-0577,2025-08-11,Marketplace,Credit Card,West Coast,1,Sports,242.06,0,0.0,9.56,75.52,36.31,7.32,No,0,242.06,128.71,113.35
ORD-000160,C-0112,2025-06-14,Mobile App,Credit Card,Northeast,5,Sports,506.76,20,101.35,60.32,159.98,0,12.06,No,0,405.41,232.36,173.05
ORD-000161,C-0091,2025-02-03,Social Commerce,Credit Card,Southeast,1,Clothing,63.94,0,0.0,8.46,20.51,5.12,2.15,Yes,63.94,0.0,36.24,-36.24
ORD-000162,C-0429,2024-10-15,Mobile App,Debit Card,Southeast,2,Books,75.96,15,11.39,25.14,24.6,0,2.17,Yes,64.57,0.0,51.91,-51.91
ORD-000163,C-0182,2024-12-31,Marketplace,Credit Card,West Coast,1,Toys,14.74,5,0.74,5.58,4.57,2.1,0.71,No,0,14.0,12.96,1.04
ORD-000164,C-0305,2024-06-07,Mobile App,Credit Card,Midwest,3,Toys,143.13,5,7.16,30.26,79.48,0,4.24,No,0,135.97,113.98,21.99
