product_id,product_name,category,sub_category,unit_cost,selling_price,shipping_cost_per_unit,weight_lbs,supplier
SKU-0070,Bedding - Variant 3,Home & Kitchen,Bedding,47.55,154.72,11.5,10.0,Supplier B
SKU-0071,Small Appliances - Variant 1,Home & Kitchen,Small Appliances,18.47,52.9,9.26,7.2,Supplier A
SKU-0072,Small Appliances - Variant 2,Home & Kitchen,Small Appliances,26.96,62.18,6.06,3.2,Supplier E
SKU-0073,Small Appliances - Variant 3,Home & Kitchen,Small Appliances,4.67,15.69,9.34,7.3,Supplier E
SKU-0074,Small Appliances - Variant 4,Home & Kitchen,Small Appliances,49.88,164.85,4.7,1.5,Supplier A
SKU-0075,Cleaning - Variant 1,Home & Kitchen,Cleaning,25.87,51.31,10.06,8.2,Supplier B
SKU-0076,Cleaning - Variant 2,Home & Kitchen,Cleaning,26.96,67.09,10.54,8.8,Supplier A
SKU-0077,Cleaning - Variant 3,Home & Kitchen,Cleaning,34.15,104.73,14.94,14.3,Supplier B
SKU-0078,Cleaning - Variant 4,Home & Kitchen,Cleaning,11.41,29.4,6.22,3.4,Supplier C
SKU-0079,Cleaning - Variant 5,Home & Kitchen,Cleaning,47.56,71.83,10.14,8.3,Supplier A
SKU-0080,Fitness Gear - Variant 1,Sports,Fitness Gear,16.55,38.81,11.42,9.9,Supplier B
SKU-0081,Fitness Gear - Variant 2,Sports,Fitness Gear,7.23,17.4,12.3,11.0,Supplier D
SKU-0082,Fitness Gear - Variant 3,Sports,Fitness Gear,24.86,39.82,5.66,2.7,Supplier D
SKU-0083,Fitness Gear - Variant 4,Sports,Fitness Gear,11.64,36.01,9.66,7.7,Supplier C
SKU-0084,Yoga Mats - Variant 1,Sports,Yoga Mats,15.2,36.49,12.38,11.1,Supplier B
SKU-0085,Yoga Mats - Variant 2,Sports,Yoga Mats,36.39,53.21,3.98,0.6,Supplier E
SKU-0086,Yoga Mats - Variant 3,Sports,Yoga Mats,12.24,41.97,13.42,12.4,Supplier A
SKU-0087,Yoga Mats - Variant 4,Sports,Yoga Mats,18.66,29.69,6.06,3.2,Supplier D
SKU-0088,Yoga Mats - Variant 5,Sports,Yoga Mats,11.44,27.71,12.94,11.8,Supplier C
SKU-0089,Water Bottles - Variant 1,Sports,Water Bottles,11.71,35.19,5.02,1.9,Supplier C
SKU-0090,Water Bottles - Variant 2,Sports,Water Bottles,21.08,55.06,5.82,2.9,Supplier D
SKU-0091,Water Bottles - Variant 3,Sports,Water Bottles,20.9,47.22,5.9,3.0,Supplier A
SKU-0092,Water Bottles - Variant 4,Sports,Water Bottles,4.85,6.95,7.98,5.6,Supplier D
SKU-0093,Water Bottles - Variant 5,Sports,Water Bottles,12.42,29.59,4.7,1.5,Supplier C
SKU-0094,Resistance Bands - Variant 1,Sports,Resistance Bands,37.76,121.03,4.78,1.6,Supplier D
SKU-0095,Resistance Bands - Variant 2,Sports,Resistance Bands,4.36,14.58,9.1,7.0,Supplier B
SKU-0096,Resistance Bands - Variant 3,Sports,Resistance Bands,6.88,11.99,10.3,8.5,Supplier C
SKU-0097,Resistance Bands - Variant 4,Sports,Resistance Bands,30.95,103.35,5.02,1.9,Supplier C
SKU-0098,Resistance Bands - Variant 5,Sports,Resistance Bands,38.61,96.35,3.82,0.4,Supplier C
SKU-0099,Resistance Bands - Variant 6,Sports,Resistance Bands,12.97,24.23,6.7,4.0,Supplier C
SKU-0100,Running Shoes - Variant 1,Sports,Running Shoes,27.03,69.38,14.3,13.5,Supplier D
SKU-0101,Running Shoes - Variant 2,Sports,Running Shoes,34.79,62.32,13.18,12.1,Supplier A
SKU-0102,Running Shoes - Variant 3,Sports,Running Shoes,32.39,47.4,11.98,10.6,Supplier D
SKU-0103,Running Shoes - Variant 4,Sports,Running Shoes,26.77,49.35,8.38,6.1,Supplier A
SKU-0104,Supplements - Variant 1,Sports,Supplements,33.04,104.14,14.54,13.8,Supplier B
SKU-0105,Supplements - Variant 2,Sports,Supplements,26.48,62.94,6.62,3.9,Supplier C
SKU-0106,Supplements - Variant 3,Sports,Supplements,28.21,45.69,11.58,10.1,Supplier A
SKU-0107,Supplements - Variant 4,Sports,Supplements,7.33,19.26,5.26,2.2,Supplier D
SKU-0108,Supplements - Variant 5,Sports,Supplements,7.06,13.96,5.18,2.1,Supplier E
SKU-0109,Skincare - Variant 1,Beauty,Skincare,19.8,61.44,12.06,10.7,Supplier E
SKU-0110,Skincare - Variant 2,Beauty,Skincare,18.89,35.41,12.14,10.8,Supplier D
SKU-0111,Skincare - Variant 3,Beauty,Skincare,10.75,24.02,3.98,0.6,Supplier B
SKU-0112,Skincare - Variant 4,Beauty,Skincare,2.85,5.22,14.3,13.5,Supplier A
SKU-0113,Makeup - Variant 1,Beauty,Makeup,14.64,36.6,10.62,8.9,Supplier C
SKU-0114,Makeup - Variant 2,Beauty,Makeup,15.9,39.11,9.82,7.9,Supplier B
SKU-0115,Makeup - Variant 3,Beauty,Makeup,5.81,11.82,11.9,10.5,Supplier A
SKU-0116,Hair Care - Variant 1,Beauty,Hair Care,3.65,8.3,13.18,12.1,Supplier C
SKU-0117,Hair Care - Variant 2,Beauty,Hair Care,11.04,18.83,9.9,8.0,Supplier D
SKU-0118,Hair Care - Variant 3,Beauty,Hair Care,20.94,47.32,9.1,7.0,Supplier D
SKU-0119,Fragrances - Variant 1,Beauty,Fragrances,10.28,29.59,11.66,10.2,Supplier A
SKU-0120,Fragrances - Variant 2,Beauty,Fragrances,7.31,11.11,10.94,9.3,Supplier A
SKU-0121,Fragrances - Variant 3,Beauty,Fragrances,24.83,77.53,4.78,1.6,Supplier D
SKU-0122,Fragrances - Variant 4,Beauty,Fragrances,7.01,16.16,4.54,1.3,Supplier A
SKU-0123,Fragrances - Variant 5,Beauty,Fragrances,8.53,17.62,11.66,10.2,Supplier C
SKU-0124,Tools - Variant 1,Beauty,Tools,9.01,25.01,7.9,5.5,Supplier B
SKU-0125,Tools - Variant 2,Beauty,Tools,23.51,63.78,3.9,0.5,Supplier E
SKU-0126,Tools - Variant 3,Beauty,Tools,12.95,36.92,7.74,5.3,Supplier D
SKU-0127,Nail Care - Variant 1,Beauty,Nail Care,22.42,58.23,13.42,12.4,Supplier C
SKU-0128,Nail Care - Variant 2,Beauty,Nail Care,7.45,20.45,10.22,8.4,Supplier B
SKU-0129,Nail Care - Variant 3,Beauty,Nail Care,15.36,21.93,14.06,13.2,Supplier D
SKU-0130,Fiction - Variant 1,Books,Fiction,6.31,17.59,14.78,14.1,Supplier C
SKU-0131,Fiction - Variant 2,Books,Fiction,8.25,16.8,4.14,0.8,Supplier A
SKU-0132,Fiction - Variant 3,Books,Fiction,7.31,23.61,8.22,5.9,Supplier C
SKU-0133,Non-Fiction - Variant 1,Books,Non-Fiction,4.49,9.77,11.74,10.3,Supplier E
SKU-0134,Non-Fiction - Variant 2,Books,Non-Fiction,5.42,16.1,12.62,11.4,Supplier E
SKU-0135,Non-Fiction - Variant 3,Books,Non-Fiction,7.88,17.99,11.74,10.3,Supplier E
SKU-0136,Self-Help - Variant 1,Books,Self-Help,6.37,9.03,13.98,13.1,Supplier A
SKU-0137,Self-Help - Variant 2,Books,Self-Help,11.45,18.27,9.26,7.2,Supplier B
SKU-0138,Self-Help - Variant 3,Books,Self-Help,5.38,10.62,9.18,7.1,Supplier B
SKU-0139,Self-Help - Variant 4,Books,Self-Help,5.33,8.92,10.22,8.4,Supplier C
SKU-0140,Self-Help - Variant 5,Books,Self-Help,8.06,26.5,5.5,2.5,Supplier B
SKU-0141,Self-Help - Variant 6,Books,Self-Help,6.23,19.31,5.9,3.0,Supplier E
SKU-0142,Business - Variant 1,Books,Business,10.3,31.87,9.58,7.6,Supplier D
SKU-0143,Business - Variant 2,Books,Business,3.35,10.0,6.14,3.3,Supplier E
SKU-0144,Business - Variant 3,Books,Business,10.55,17.64,15.42,14.9,Supplier A
SKU-0145,Textbooks - Variant 1,Books,Textbooks,7.08,20.16,5.98,3.1,Supplier B
SKU-0146,Textbooks - Variant 2,Books,Textbooks,5.89,16.19,14.7,14.0,Supplier E
SKU-0147,Textbooks - Variant 3,Books,Textbooks,9.55,23.18,9.26,7.2,Supplier D
SKU-0148,Textbooks - Variant 4,Books,Textbooks,6.71,9.94,7.34,4.8,Supplier D
SKU-0149,Childrens - Variant 1,Books,Childrens,2.17,3.49,10.38,8.6,Supplier B
SKU-0150,Childrens - Variant 2,Books,Childrens,6.77,23.2,7.98,5.6,Supplier A
SKU-0151,Childrens - Variant 3,Books,Childrens,9.18,30.61,9.9,8.0,Supplier B
SKU-0152,Childrens - Variant 4,Books,Childrens,3.38,5.52,7.82,5.4,Supplier A
SKU-0153,Childrens - Variant 5,Books,Childrens,4.56,10.41,9.58,7.6,Supplier C
SKU-0154,Board Games - Variant 1,Toys,Board Games,27.31,76.83,9.02,6.9,Supplier D
SKU-0155,Board Games - Variant 2,Toys,Board Games,38.82,63.62,13.58,12.6,Supplier C
SKU-0156,Board Games - Variant 3,Toys,Board Games,6.91,10.05,9.18,7.1,Supplier A
SKU-0157,Action Figures - Variant 1,Toys,Action Figures,11.78,40.89,7.18,4.6,Supplier D
SKU-0158,Action Figures - Variant 2,Toys,Action Figures,21.86,45.16,9.9,8.0,Supplier A
SKU-0159,Action Figures - Variant 3,Toys,Action Figures,30.58,52.54,5.82,2.9,Supplier B
SKU-0160,Action Figures - Variant 4,Toys,Action Figures,23.51,58.97,6.22,3.4,Supplier A
SKU-0161,Action Figures - Variant 5,Toys,Action Figures,38.53,124.51,5.98,3.1,Supplier C
SKU-0162,Action Figures - Variant 6,Toys,Action Figures,35.81,72.56,8.7,6.5,Supplier D
SKU-0163,Puzzles - Variant 1,Toys,Puzzles,16.62,29.5,11.74,10.3,Supplier E
SKU-0164,Puzzles - Variant 2,Toys,Puzzles,23.99,45.27,12.78,11.6,Supplier A
SKU-0165,Puzzles - Variant 3,Toys,Puzzles,37.65,82.29,13.02,11.9,Supplier C
SKU-0166,Puzzles - Variant 4,Toys,Puzzles,5.71,11.84,11.5,10.0,Supplier A
SKU-0167,Puzzles - Variant 5,Toys,Puzzles,25.97,84.04,4.22,0.9,Supplier E
SKU-0168,Building Sets - Variant 1,Toys,Building Sets,4.57,14.74,5.58,2.6,Supplier D
SKU-0169,Building Sets - Variant 2,Toys,Building Sets,26.68,90.83,15.42,14.9,Supplier B
SKU-0170,Building Sets - Variant 3,Toys,Building Sets,6.83,19.95,4.46,1.2,Supplier C
SKU-0171,Building Sets - Variant 4,Toys,Building Sets,20.72,57.29,13.18,12.1,Supplier A
SKU-0172,Building Sets - Variant 5,Toys,Building Sets,34.48,75.84,12.3,11.0,Supplier A
SKU-0173,Dolls - Variant 1,Toys,Dolls,20.88,69.12,9.1,7.0,Supplier D
SKU-0174,Dolls - Variant 2,Toys,Dolls,37.2,94.27,7.98,5.6,Supplier E
SKU-0175,Dolls - Variant 3,Toys,Dolls,19.21,46.8,9.9,8.0,Supplier E
SKU-0176,Dolls - Variant 4,Toys,Dolls,22.41,73.68,8.86,6.7,Supplier E
SKU-0177,Outdoor - Variant 1,Toys,Outdoor,36.48,100.66,10.46,8.7,Supplier C
SKU-0178,Outdoor - Variant 2,Toys,Outdoor,11.55,37.81,5.74,2.8,Supplier E
SKU-0179,Outdoor - Variant 3,Toys,Outdoor,22.4,74.59,12.3,11.0,Supplier A
SKU-0180,Outdoor - Variant 4,Toys,Outdoor,31.76,63.63,8.38,6.1,Supplier E
SKU-0181,Outdoor - Variant 5,Toys,Outdoor,12.13,27.88,11.18,9.6,Supplier E
SKU-0182,Snacks - Variant 1,Food & Beverage,Snacks,20.66,29.57,12.14,10.8,Supplier B
SKU-0183,Snacks - Variant 2,Food & Beverage,Snacks,3.71,11.52,7.58,5.1,Supplier D
SKU-0184,Snacks - Variant 3,Food & Beverage,Snacks,37.79,86.62,7.58,5.1,Supplier E
SKU-0185,Coffee - Variant 1,Food & Beverage,Coffee,36.34,111.44,9.02,6.9,Supplier D
SKU-0186,Coffee - Variant 2,Food & Beverage,Coffee,34.07,48.08,15.26,14.7,Supplier C
SKU-0187,Coffee - Variant 3,Food & Beverage,Coffee,3.49,9.48,13.1,12.0,Supplier D
SKU-0188,Coffee - Variant 4,Food & Beverage,Coffee,37.84,111.64,14.22,13.4,Supplier C
SKU-0189,Coffee - Variant 5,Food & Beverage,Coffee,21.84,41.34,11.18,9.6,Supplier A
SKU-0190,Tea - Variant 1,Food & Beverage,Tea,10.44,35.64,13.18,12.1,Supplier A
SKU-0191,Tea - Variant 2,Food & Beverage,Tea,32.23,79.49,13.82,12.9,Supplier B
SKU-0192,Tea - Variant 3,Food & Beverage,Tea,8.3,28.96,9.02,6.9,Supplier A
SKU-0193,Protein Bars - Variant 1,Food & Beverage,Protein Bars,23.14,52.69,5.82,2.9,Supplier E
SKU-0194,Protein Bars - Variant 2,Food & Beverage,Protein Bars,37.85,110.36,5.1,2.0,Supplier C
SKU-0195,Protein Bars - Variant 3,Food & Beverage,Protein Bars,33.95,115.09,8.22,5.9,Supplier E
SKU-0196,Protein Bars - Variant 4,Food & Beverage,Protein Bars,8.24,27.84,7.42,4.9,Supplier C
SKU-0197,Protein Bars - Variant 5,Food & Beverage,Protein Bars,36.72,85.06,11.82,10.4,Supplier D
SKU-0198,Protein Bars - Variant 6,Food & Beverage,Protein Bars,5.64,18.44,4.62,1.4,Supplier C
SKU-0199,Sauces - Variant 1,Food & Beverage,Sauces,23.44,66.05,14.86,14.2,Supplier C
SKU-0200,Sauces - Variant 2,Food & Beverage,Sauces,38.64,129.8,3.82,0.4,Supplier A
SKU-0201,Sauces - Variant 3,Food & Beverage,Sauces,10.69,16.33,11.66,10.2,Supplier D
SKU-0202,Sauces - Variant 4,Food & Beverage,Sauces,18.74,50.95,14.38,13.6,Supplier D
SKU-0203,Sauces - Variant 5,Food & Beverage,Sauces,19.99,32.04,14.22,13.4,Supplier C
SKU-0204,Organic - Variant 1,Food & Beverage,Organic,13.64,27.16,11.34,9.8,Supplier B
SKU-0205,Organic - Variant 2,Food & Beverage,Organic,8.47,19.41,12.7,11.5,Supplier D
SKU-0206,Organic - Variant 3,Food & Beverage,Organic,39.68,136.04,6.3,3.5,Supplier D
SKU-0207,Organic - Variant 4,Food & Beverage,Organic,37.28,63.96,11.42,9.9,Supplier C
